,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Jul-2003,1348882.7,1351313.8,846801.4,847408.4,502081.3,503905.4,1164978.2,1167274.0,795682.9,796285.4,369295.3,370988.6,183904.6,184039.8,51118.5,51123.0,132786.1,132916.8,447871.5,448790.8,331904.1,332700.7,259071.2,259326.5,100226.9,101683.4,140581.9,140573.8,29352.4,29454.2,14583.7,24456.0
Aug-2003,1349615.7,1346561.4,847950.8,846117.4,501664.9,500444.1,1165851.7,1164072.3,796983.8,795739.6,368867.9,368332.7,183764.0,182489.1,50967.0,50377.8,132797.0,132111.4,448661.1,450016.8,331111.5,330455.8,260190.9,258274.2,100006.3,99125.2,140660.0,140275.5,29517.4,29373.8,14486.1,24478.4
Sep-2003,1351242.7,1348325.8,849571.7,848192.4,501671.0,500133.4,1167425.7,1165011.9,798585.1,797232.1,368840.7,367779.7,183817.0,183313.9,50986.7,50960.3,132830.3,132353.6,449734.4,447223.8,330588.6,330628.4,261544.0,262366.0,99945.0,99214.8,140733.1,139986.0,29601.4,29926.5,14452.0,24570.0
Oct-2003,1353602.7,1353462.3,851507.4,851467.6,502095.3,501994.7,1169625.2,1167947.4,800355.1,799723.7,369270.1,368223.7,183977.5,185514.9,51152.3,51743.9,132825.2,133771.0,450856.4,451130.7,330575.6,329933.2,262957.3,262796.1,100018.5,99853.3,140760.4,141166.9,29632.3,29562.9,14486.4,24698.8
Nov-2003,1356478.3,1359141.5,853720.4,855281.7,502757.9,503859.8,1172385.3,1174958.3,802372.3,804769.7,370013.0,370188.6,184092.9,184183.2,51348.1,50512.0,132744.8,133671.2,451864.8,453753.6,331186.7,330445.5,264240.3,264796.6,100157.8,100652.6,140672.8,140666.9,29663.1,29412.1,14579.2,24831.9
Dec-2003,1359308.9,1361175.0,855938.9,856690.4,503370.0,504484.5,1175184.5,1176877.8,804445.1,804435.2,370739.4,372442.6,184124.4,184297.2,51493.8,52255.3,132630.6,132042.0,452644.4,450991.4,332279.9,332230.3,265235.0,265491.0,100265.2,101268.4,140479.7,141436.2,29717.4,29951.9,14697.4,24929.1
Jan-2004,1361745.7,1361734.1,857810.7,856699.5,503935.0,505034.6,1177604.4,1178024.7,806249.7,805108.5,371354.8,372916.2,184141.3,183709.4,51561.0,51591.1,132580.2,132118.4,453227.8,453892.5,333678.5,333408.1,265991.8,267017.6,100272.9,100156.9,140284.0,137601.2,29784.7,29540.2,14797.2,24980.3
Feb-2004,1363669.3,1363895.5,859174.7,859606.6,504494.6,504288.9,1179424.4,1177099.6,807594.8,807904.9,371829.6,369194.7,184244.9,186795.9,51579.9,51701.7,132665.0,135094.3,453339.4,453739.6,334974.9,336519.7,266572.9,265767.2,100197.6,99249.6,140101.5,139256.9,29859.1,29698.8,14839.7,25014.2
Mar-2004,1365132.2,1364982.9,860018.8,859550.2,505113.5,505432.7,1180662.1,1181547.5,808428.3,808224.3,372233.8,373323.2,184470.1,183435.3,51590.5,51325.9,132879.6,132109.5,452805.7,453283.1,335922.5,336167.9,267127.1,265778.0,100081.4,100231.0,140031.3,139333.9,29908.2,30248.6,14807.6,25067.3
Apr-2004,1366486.4,1370007.7,860420.6,862611.7,506065.9,507396.0,1181615.0,1184027.4,808747.2,811169.3,372867.8,372858.1,184871.4,185980.3,51673.4,51442.4,133198.0,134537.9,451816.7,451770.6,336443.4,336334.4,267811.9,268969.0,100017.2,100263.1,140165.3,142549.3,29912.4,30193.8,14715.1,25142.7
May-2004,1368049.3,1366792.5,860586.6,860330.4,507462.7,506462.2,1182683.4,1179376.1,808739.5,806488.9,373943.9,372887.2,185366.0,187416.4,51847.2,53841.5,133518.8,133574.9,450792.6,450832.8,336709.5,336132.9,268727.8,268329.6,100048.8,99901.9,140436.4,142384.1,29873.5,29542.6,14601.7,25223.8
Jun-2004,1369949.5,1373166.7,860686.0,863166.1,509263.4,510000.6,1184121.8,1186768.8,808551.4,810676.4,375570.3,376092.5,185827.7,186397.8,52134.6,52489.7,133693.1,133908.1,449987.8,451612.1,336939.1,338641.3,269972.5,271521.4,100135.3,100986.0,140747.3,140937.1,29824.4,29710.2,14509.4,25300.2
Jul-2004,1372214.6,1357347.6,860899.6,852924.5,511315.0,504423.2,1185916.6,1171530.2,808375.8,800501.6,377540.8,371028.6,186298.0,185817.5,52523.8,52422.9,133774.3,133394.6,449651.3,446152.7,337421.9,334876.8,271531.6,269030.4,100221.5,97396.5,141070.4,139766.4,29786.2,30010.3,14486.8,25349.0
Aug-2004,1375350.7,1373673.0,861609.2,860276.6,513741.5,513396.4,1188476.0,1187445.5,808686.2,807813.3,379789.8,379632.2,186874.8,186227.5,52923.1,52463.3,133951.7,133764.2,450181.3,449378.9,338316.6,338962.0,273209.9,273456.2,100315.2,100137.9,141487.8,142339.9,29777.6,29496.1,14548.9,25360.8
Sep-2004,1379760.4,1380208.3,863152.7,862973.8,516607.7,517234.4,1192141.2,1191637.4,809858.8,809123.5,382282.4,382514.0,187619.1,188570.8,53293.9,53850.4,134325.3,134720.4,451539.8,453609.8,339556.8,338848.6,274886.9,275271.4,100469.2,100412.1,142204.9,142461.7,29811.2,29938.5,14675.7,25361.7
Oct-2004,1385463.6,1385938.1,865533.9,866927.3,519929.6,519010.8,1196865.7,1198064.3,811945.0,813546.6,384920.7,384517.7,188597.9,187873.8,53588.9,53380.7,135008.9,134493.1,453230.8,452846.0,340894.8,342027.7,276705.2,278103.2,100742.0,101211.5,143393.8,141706.1,29856.8,29968.4,14824.1,25395.7
Nov-2004,1391984.2,1389144.4,868681.9,866516.2,523302.3,522628.3,1202202.5,1199875.3,814832.6,812226.9,387369.9,387648.4,189781.7,189269.2,53849.3,54289.3,135932.4,134979.9,454917.1,453819.7,342039.1,340754.4,278656.6,278320.8,101166.4,100616.2,144963.1,145204.0,29880.8,29748.5,14924.1,25492.3
Dec-2004,1398453.6,1397582.9,872206.8,871809.9,526246.8,525773.0,1207447.3,1205768.8,818116.4,818057.6,389330.9,387711.2,191006.3,191814.1,54090.4,53752.3,136915.9,138061.8,456306.9,457225.4,342892.3,345237.9,280588.6,276381.5,101711.8,101699.5,146705.9,146504.0,29870.4,29871.0,14935.3,25639.5
Jan-2005,1404440.1,1415004.6,875920.5,879352.5,528519.6,535652.2,1212267.1,1218031.9,821580.7,823603.2,390686.4,394428.6,192173.0,196972.8,54339.8,55749.2,137833.2,141223.5,457518.0,461295.3,343510.7,352402.0,282443.1,280137.1,102346.6,100706.0,148279.1,149089.2,29846.2,30065.8,14857.1,25794.7
Feb-2005,1409368.9,1408379.1,879358.6,879398.3,530010.3,528980.8,1216201.0,1215792.9,824735.7,824957.3,391465.3,390835.6,193167.9,192586.2,54622.8,54441.0,138545.0,138145.2,458549.6,455620.7,343975.4,343241.2,284167.5,286162.0,102999.6,102639.6,149477.1,150163.4,29811.2,29678.1,14724.5,25913.5
Mar-2005,1413356.2,1413354.2,882398.4,881353.2,530957.8,532001.0,1219320.6,1218090.9,827459.8,826634.4,391860.8,391456.5,194035.6,195263.3,54938.6,54718.8,139097.0,140544.5,459441.1,455629.1,344624.1,343884.5,285784.6,287972.0,103558.0,104774.5,150244.4,150682.2,29785.5,29746.4,14585.0,25974.3
Apr-2005,1416589.0,1415331.5,884869.1,886206.5,531719.9,529125.0,1221719.3,1221238.5,829623.4,830266.1,392095.9,390972.5,194869.7,194093.0,55245.7,55940.4,139624.0,138152.6,460144.2,464209.5,345543.5,342133.8,287019.5,284871.8,103930.3,104251.8,150692.3,149798.6,29792.6,29810.3,14491.0,25988.8
May-2005,1419119.4,1416063.4,886642.1,884792.6,532477.3,531270.7,1223390.1,1220777.6,831170.9,829912.3,392219.2,390865.3,195729.3,195285.7,55471.3,54880.3,140258.1,140405.4,460431.7,459728.8,346785.8,348740.7,287640.9,283090.1,104070.4,103402.6,151078.8,151770.1,29811.4,29647.4,14470.2,25982.7
Jun-2005,1420789.9,1425372.6,887497.0,890502.2,533292.9,534870.3,1224167.3,1228807.4,831962.0,834522.8,392205.3,394284.6,196622.6,196565.2,55535.1,55979.5,141087.6,140585.7,460177.1,464003.5,348182.4,347364.0,287568.3,288734.1,103979.9,104949.8,151502.5,149782.6,29841.7,30064.6,14520.8,25962.6
Jul-2005,1421863.9,1419466.2,887755.8,885409.3,534108.0,534056.8,1224355.8,1222598.9,832331.0,829893.1,392024.8,392705.9,197508.0,196867.2,55424.8,55516.3,142083.2,141351.0,459547.5,455035.0,349406.4,348124.3,287056.6,289902.0,103750.0,103627.0,151954.3,152214.8,29872.2,29796.6,14608.1,25949.0
Aug-2005,1422054.1,1426216.2,887263.0,889491.0,534791.1,536725.2,1223864.7,1226417.4,832095.7,834391.1,391769.0,392026.2,198189.4,199798.8,55167.3,55099.8,143022.0,144699.0,458763.2,459836.4,350046.6,352316.4,286344.8,286717.5,103541.6,102925.6,152456.6,153445.5,29900.7,30096.6,14709.5,25936.1
Sep-2005,1421245.8,1420813.5,885990.5,885540.0,535255.4,535273.5,1222750.4,1221829.5,831145.8,830367.4,391604.6,391462.1,198495.4,198984.0,54844.7,55172.7,143650.7,143811.3,457968.6,459743.9,349978.2,349707.3,285678.8,283719.9,103495.4,103840.7,152991.8,153909.1,29960.8,29087.5,14810.5,25907.6
Oct-2005,1420177.3,1417679.5,884565.3,884595.0,535612.0,533084.5,1221678.4,1219427.0,829925.8,830056.4,391752.7,389370.6,198498.9,198252.5,54639.5,54538.6,143859.4,143713.9,457506.6,453639.5,349343.4,350750.5,285148.4,284607.2,103625.6,103263.6,153518.9,156042.5,30080.7,29380.7,14900.2,25853.3
Nov-2005,1419359.4,1417962.3,883375.8,881521.3,535983.6,536440.9,1221019.2,1219902.9,828715.9,827686.8,392303.3,392216.1,198340.2,198059.4,54659.8,53834.5,143680.3,144224.9,457419.2,458160.2,348522.9,348414.7,284912.2,285312.7,103861.7,103321.2,153948.8,151560.4,30253.5,30474.4,14979.9,25782.5
Dec-2005,1419373.3,1425799.6,882748.0,887728.7,536625.3,538070.9,1221101.5,1226540.9,827838.8,832362.4,393262.7,394178.4,198271.8,199258.7,54909.1,55366.3,143362.6,143892.4,457570.3,461586.5,347968.1,346340.4,285162.3,286452.5,104155.4,104513.6,154281.9,155777.0,30458.7,30170.4,15050.6,25727.7
Jan-2006,1420518.1,1412147.2,882853.9,874368.1,537664.2,537779.1,1222076.6,1216039.2,827514.4,819969.4,394562.3,396069.8,198441.5,196108.0,55339.5,54398.7,143102.0,141709.3,457943.3,456002.5,347978.0,341946.0,285759.9,281036.5,104411.3,105922.8,154504.2,155496.6,30664.8,30949.4,15120.2,25735.1
Feb-2006,1422871.9,1424955.2,883745.3,886368.6,539126.5,538586.7,1223943.6,1225960.4,827901.2,829484.4,396042.4,396476.1,198928.2,198994.8,55844.1,56884.2,143084.1,142110.6,458530.8,455386.4,348769.6,347895.6,286518.3,290504.1,104534.4,104125.0,154682.6,154861.0,30812.2,31090.0,15207.4,25812.6
Mar-2006,1426609.5,1430066.2,885602.1,890847.4,541007.4,539218.8,1226918.6,1227837.2,829240.9,833207.6,397677.8,394629.6,199690.8,202229.0,56361.2,57639.8,143329.6,144589.1,459541.8,461586.7,350180.0,351006.1,287429.6,286986.2,104622.8,104026.7,154799.3,153837.2,30889.8,30623.6,15320.7,25981.8
Apr-2006,1431451.4,1424433.0,888269.6,882923.7,543181.8,541509.3,1230955.9,1227299.5,831444.8,826873.0,399511.1,400426.4,200495.5,197133.6,56824.8,56050.7,143670.7,141082.9,460624.1,452284.9,351755.7,352399.7,288628.0,288658.7,104782.4,105125.5,154935.6,154053.1,30892.6,30891.2,15455.6,26241.5
May-2006,1437361.1,1447482.2,891632.2,899217.7,545728.9,548264.5,1236101.6,1244161.9,834398.1,842303.6,401703.5,401858.3,201259.5,203320.3,57234.1,56914.1,144025.4,146406.1,461808.1,468679.0,353170.7,353324.6,290258.3,291067.1,105082.5,105154.8,155146.7,156073.3,30861.7,30999.1,15604.4,26565.8
Jun-2006,1443575.6,1442501.0,895093.3,893268.7,548482.4,549232.2,1241614.2,1240474.0,837421.7,835581.5,404192.4,404892.5,201961.5,202026.9,57671.5,57687.2,144290.0,144339.8,463040.6,461809.2,354053.9,353853.4,292120.6,290465.9,105571.4,104594.2,155471.4,158027.5,30827.2,30797.1,15753.1,26897.9
Jul-2006,1449353.8,1451319.3,898287.8,900868.9,551066.1,550450.4,1246690.9,1248018.6,840050.0,842251.9,406640.9,405766.7,202662.9,203300.7,58237.8,58616.9,144425.1,144683.7,464230.6,466134.3,354396.9,355340.7,294154.0,294122.7,106111.0,106135.8,155820.4,156175.6,30817.5,30556.1,15881.7,27193.4
Aug-2006,1454159.2,1455461.5,900828.5,902635.9,553330.7,552825.6,1250723.1,1252537.6,841900.5,843927.2,408822.6,408610.4,203436.1,202923.9,58927.9,58708.7,144508.2,144215.2,465406.7,464865.6,354388.8,354482.1,296275.1,297440.3,106468.2,107425.7,156090.1,156358.5,30835.7,31103.1,15962.7,27416.3
Sep-2006,1457922.9,1458582.6,902691.4,902963.0,555231.5,555619.6,1253632.5,1255658.9,843064.5,844060.5,410568.0,411598.4,204290.4,202923.8,59626.9,58902.5,144663.5,144021.3,466696.8,463346.5,354260.4,359194.9,298441.8,298894.3,106506.5,106428.9,156290.4,156758.7,30848.7,30597.4,15983.1,27570.3
Oct-2006,1460718.7,1463358.7,903896.6,904183.9,556822.0,559174.7,1255741.9,1257159.9,843797.0,843732.1,411944.9,413427.8,204976.8,206198.7,60099.7,60451.9,144877.1,145746.9,467850.0,471385.7,354337.9,354786.2,300514.1,300120.8,106213.6,106692.4,156535.9,155381.1,30849.2,31088.0,15968.3,27633.6
Nov-2006,1463109.8,1456942.2,904967.5,901361.8,558142.3,555580.4,1257783.1,1251480.6,844720.9,840480.9,413062.2,410999.8,205326.7,205461.5,60246.7,60880.9,145080.1,144580.6,468407.9,466537.3,354865.7,352991.6,302463.5,300122.1,105633.4,105977.6,157044.7,157202.7,30843.2,30762.0,15950.0,27626.3
Dec-2006,1466085.1,1475797.9,906756.6,910342.4,559328.5,565455.4,1260696.9,1269389.4,846667.4,849440.6,414029.6,419948.8,205388.2,206408.4,60089.2,60901.8,145298.9,145506.6,468488.1,472340.8,356058.1,360051.6,304218.7,307224.2,104953.8,104027.0,157862.1,157751.1,30827.6,31049.7,15972.0,27593.6
Jan-2007,1469764.6,1443554.8,909302.3,888792.3,560462.3,554762.5,1264635.9,1240307.7,849625.8,831167.0,415010.1,409140.6,205128.7,203247.1,59676.5,57625.3,145452.2,145621.8,468271.8,458006.6,357906.3,350042.4,305690.4,304327.6,104411.3,102564.7,158852.3,155498.9,30811.0,30418.1,16062.9,27567.1
Feb-2007,1474096.2,1471733.4,912545.6,911649.5,561550.7,560083.9,1269359.0,1267718.0,853402.1,853348.5,415956.8,414369.5,204737.3,204015.4,59143.4,58301.0,145593.9,145714.4,468070.6,467211.8,360208.2,359540.1,306721.2,307033.2,104170.0,104393.8,159925.1,158882.1,30829.0,30847.4,16223.6,27558.2
Mar-2007,1478663.9,1482760.7,916037.6,919698.5,562626.3,563062.2,1274163.4,1278782.4,857332.4,861124.8,416831.1,417657.6,204500.5,203978.3,58705.2,58573.7,145795.2,145404.6,468261.7,466234.6,362561.4,363475.9,307084.8,313024.4,104259.3,103581.7,160940.7,161842.7,30898.6,30985.0,16431.4,27562.8
Apr-2007,1482980.4,1484040.2,919348.3,918026.7,563632.1,566013.6,1278344.0,1276542.1,860822.7,859116.5,417521.3,417425.6,204636.5,207498.2,58525.6,58910.2,146110.8,148588.0,469091.8,468326.0,364562.1,364715.5,306780.3,307907.8,104632.3,104510.4,161813.0,163147.6,31019.8,30969.5,16648.6,27547.9
May-2007,1486771.3,1491012.1,922203.6,924242.5,564567.7,566769.6,1281603.3,1286050.7,863573.9,865938.8,418029.5,420111.9,205167.9,204961.4,58629.7,58303.8,146538.2,146657.6,470589.9,474183.9,365922.8,367151.5,306158.1,306513.7,105137.5,105979.6,162531.1,161155.6,31194.0,31148.4,16853.2,27512.2
Jun-2007,1490255.7,1485089.0,924631.1,921601.9,565624.6,563487.1,1284312.5,1280425.9,865705.4,862930.4,418607.1,417495.5,205943.2,204663.1,58925.7,58671.5,147017.4,145991.6,472529.5,469838.0,366691.4,366644.3,305745.1,305175.3,105647.0,105181.4,163180.7,162580.4,31397.0,31330.1,17025.8,27460.8
Jul-2007,1493851.7,1496064.7,926832.6,929329.1,567019.1,566735.6,1287089.6,1287348.0,867540.6,869733.6,419549.0,417614.5,206762.2,208716.7,59292.0,59595.6,147470.2,149121.1,474649.3,475369.8,367249.0,367688.0,305853.1,303843.8,106153.6,106330.8,163744.6,166749.7,31617.2,31798.3,17165.9,27395.7
Aug-2007,1497244.7,1496336.3,928625.8,927474.9,568618.9,568861.5,1289724.0,1288652.5,868932.7,867191.8,420791.3,421460.7,207520.7,207683.8,59693.1,60283.1,147827.6,147400.7,476392.5,477145.1,367681.7,366201.2,306464.6,305744.2,106673.5,107120.9,164216.9,163997.8,31823.2,31662.2,17267.5,27326.5
Sep-2007,1500644.0,1484747.1,930189.3,919088.9,570454.8,565658.2,1292365.5,1273702.2,870016.0,859464.0,422349.5,414238.2,208278.5,211044.9,60173.2,59624.9,148105.3,151420.0,477741.2,461511.2,368209.4,367104.5,307513.8,307926.0,107200.2,106848.0,164597.0,164593.7,32006.5,32130.2,17327.1,27290.3
Oct-2007,1504042.6,1512520.3,931445.2,935236.7,572597.3,577283.6,1294922.0,1305901.2,870690.8,877211.6,424231.2,428689.5,209120.6,206619.1,60754.4,58025.1,148366.1,148594.1,478910.8,483664.4,368870.6,368920.0,308557.3,310360.6,107716.6,106551.1,164935.6,165197.7,32145.7,32140.1,17329.6,27291.9
Nov-2007,1507405.4,1515127.2,932519.9,939340.4,574885.5,575786.8,1297341.5,1305310.8,871173.7,878040.4,426167.8,427270.3,210063.8,209816.5,61346.1,61300.0,148717.7,148516.5,480270.8,481067.1,369415.1,371524.9,309364.0,310650.2,108180.6,109286.0,165276.2,165678.0,32241.1,32347.1,17284.7,27331.6
Dec-2007,1510989.2,1508286.2,933856.4,933041.1,577132.8,575245.1,1299914.9,1298263.1,871995.2,871460.1,427919.6,426803.1,211074.3,210023.1,61861.1,61581.1,149213.2,148442.0,481994.5,478540.0,369617.0,370571.0,310039.4,308956.9,108468.4,108948.9,165694.1,164649.1,32331.5,32345.5,17210.8,27371.9
Jan-2008,1514672.4,1509234.9,935511.4,931079.2,579161.0,578155.7,1302492.7,1295625.5,873248.1,867989.5,429244.6,427635.9,212179.7,213609.4,62263.3,63089.6,149916.4,150519.8,483963.3,481333.9,369381.0,366070.9,310837.7,310597.5,108551.8,108307.7,166237.6,166073.5,32455.7,32247.7,17133.6,27393.4
Feb-2008,1518854.3,1524053.3,937780.1,940063.1,581074.1,583990.2,1305621.3,1310772.9,875298.1,877393.5,430323.2,433379.3,213232.9,213280.5,62482.0,62669.6,150750.9,150610.9,486139.3,488429.1,368923.5,372250.9,312045.5,311050.4,108538.8,108938.2,166887.9,167187.4,32619.7,31675.3,17072.0,27393.5
Mar-2008,1523616.4,1523148.8,940676.5,940131.7,582939.9,583017.1,1309629.7,1309504.3,878249.4,877833.0,431380.3,431671.3,213986.7,213644.4,62427.1,62298.7,151559.6,151345.8,488095.3,489862.1,368609.7,368047.4,313929.0,311955.7,108549.6,108098.0,167664.1,168332.6,32811.9,32636.7,17035.9,27361.9
Apr-2008,1528895.4,1528380.2,944144.5,945112.4,584750.9,583267.8,1314570.5,1314383.2,882028.6,883694.6,432542.0,430688.6,214324.9,213997.0,62115.9,61417.8,152209.0,152579.2,489482.4,490314.0,368759.7,364141.8,316318.5,318391.2,108713.9,108337.3,168565.6,168784.1,33024.1,33048.2,17021.9,27313.1
May-2008,1534077.4,1532395.1,947658.5,946949.2,586419.0,585445.9,1319784.5,1317401.4,886013.7,884700.8,433770.9,432700.7,214292.9,214993.7,61644.8,62248.5,152648.1,152745.2,489964.4,488931.8,369383.0,369331.6,318757.8,319633.0,109138.8,108444.7,169609.6,168385.9,33211.4,33523.1,17007.6,27277.0
Jun-2008,1538223.8,1534442.6,950451.8,946986.3,587772.0,587456.3,1324159.7,1318863.3,889351.1,885330.6,434808.6,433532.7,214064.1,215579.3,61100.7,61655.7,152963.4,153923.6,489399.9,488050.0,370237.6,370400.0,320755.4,319008.3,109781.6,110342.3,170762.1,170167.9,33334.5,32315.2,16976.8,27280.3
Jul-2008,1540700.6,1550610.2,952109.5,957450.3,588591.1,593159.9,1326827.3,1338308.1,891545.2,897372.9,435282.2,440935.2,213873.2,212302.1,60564.3,60077.3,153308.9,152224.8,488068.9,490497.7,371025.3,372208.3,322045.2,322979.4,110384.1,111884.8,171950.8,174960.4,33353.1,33136.2,16934.1,27336.1
Aug-2008,1541262.4,1542887.4,952457.8,952991.4,588804.6,589896.0,1327419.3,1329837.7,892363.4,893639.9,435055.9,436197.9,213843.1,213049.7,60094.4,59351.6,153748.7,153698.1,486421.5,485865.6,371521.7,372119.6,322653.7,324979.5,110772.1,108623.8,173129.8,173365.2,33271.4,33503.5,16893.6,27435.1
Sep-2008,1539861.1,1538839.6,951378.9,951285.6,588482.2,587554.0,1325858.4,1325633.0,891649.6,891039.6,434208.8,434593.5,214002.7,213206.6,59729.3,60246.1,154273.4,152960.5,484680.6,484812.0,371582.3,371036.6,322569.3,320733.0,110820.1,110996.1,174107.5,173147.0,33128.3,33342.3,16893.4,27545.5
Oct-2008,1536353.2,1538008.3,948562.0,950046.0,587791.3,587962.4,1321935.5,1319454.6,889019.2,887746.3,432916.2,431708.3,214417.8,218553.8,59542.8,62299.7,154875.0,156254.1,482882.5,481301.8,370981.7,370679.0,322014.9,321732.0,110529.0,111223.6,174659.0,175865.1,32959.4,32744.7,16967.1,27643.1
Nov-2008,1531698.9,1530954.1,944401.2,944272.3,587297.7,586681.8,1316675.6,1315609.0,884771.7,884656.2,431903.9,430952.7,215023.3,215345.2,59629.6,59616.1,155393.8,155729.1,481182.1,481854.5,369902.3,370244.9,321139.2,321385.8,110024.5,109879.3,174641.7,170187.2,32793.5,32726.4,17106.5,27707.9
Dec-2008,1526632.4,1529073.3,939353.5,942951.1,587278.9,586122.2,1311012.4,1310286.8,879325.8,883172.9,431686.6,427113.9,215620.0,218786.6,60027.7,59778.2,155592.3,159008.3,479592.7,479050.4,368462.0,369195.8,319988.7,320649.8,109484.5,108475.6,174090.6,174458.8,32644.8,32429.1,17290.4,27733.6
Jan-2009,1521992.4,1548186.7,934338.0,947375.6,587654.4,600811.1,1305880.5,1334136.7,873643.3,887450.7,432237.2,446686.1,216111.9,214050.0,60694.7,59924.9,155417.2,154125.1,478176.7,486384.8,366783.9,372100.6,318784.0,326778.6,109028.3,109389.0,173170.4,174321.9,32526.6,32780.1,17503.3,27743.7
Feb-2009,1517974.3,1514802.0,929869.5,925575.5,588104.8,589226.5,1301463.8,1297396.8,868327.4,864164.1,433136.5,433232.7,216510.5,217405.3,61542.2,61411.4,154968.3,155993.9,476808.5,476666.4,365143.3,365727.2,317796.3,314861.1,108625.8,108197.2,172004.3,171051.7,32450.8,32530.5,17713.0,27749.5
Mar-2009,1514253.3,1513450.5,926022.4,925839.2,588230.9,587611.4,1297253.7,1292858.0,863554.0,860207.4,433699.7,432650.6,216999.7,220592.5,62468.4,65631.8,154531.2,154960.8,475454.7,475380.7,363836.1,362859.2,317019.1,318787.8,108179.2,108664.9,170663.6,170023.3,32393.4,32218.4,17876.1,27751.9
Apr-2009,1511292.5,1517536.2,923391.1,926829.6,587901.4,590706.6,1293519.9,1300410.8,860020.6,862653.1,433499.3,437757.8,217772.6,217125.3,63370.5,64176.5,154402.1,152948.8,474414.2,485816.2,363205.8,363094.1,316416.4,314950.3,107634.8,107729.0,169263.4,169345.5,32325.9,31202.0,17946.3,27767.8
May-2009,1509131.8,1505141.1,922086.3,920156.7,587045.5,584984.4,1290255.6,1287300.4,857919.7,856005.5,432335.8,431294.8,218876.3,217840.8,64166.6,64151.2,154709.7,153689.6,473804.9,471712.3,363472.0,362037.7,316104.4,315992.8,107010.7,107822.5,167940.4,168657.1,32231.3,32407.1,17918.3,27789.6
Jun-2009,1507962.5,1509398.7,921991.8,923094.1,585970.7,586304.6,1287714.8,1291249.9,857132.5,861137.8,430582.3,430112.1,220247.8,218148.9,64859.4,61956.4,155388.4,156192.5,473623.2,474897.6,364661.5,365266.3,316020.2,317063.6,106372.0,106071.5,166796.6,167339.2,32111.1,32202.5,17828.9,27823.0
Jul-2009,1508181.7,1503171.7,922997.2,917784.9,585184.5,585386.7,1286465.5,1282465.4,857555.9,853034.8,428909.5,429430.6,221716.2,220706.3,65441.3,64750.1,156274.9,155956.1,473889.1,472073.0,366504.1,366708.3,316123.7,317172.4,105897.1,104508.0,166021.6,165342.9,31969.3,31962.2,17741.2,27859.2
Aug-2009,1510043.1,1505009.7,925095.0,925032.5,584948.1,579977.3,1286823.4,1280703.9,859068.0,858726.3,427755.4,421977.5,223219.7,224305.9,66027.0,66306.1,157192.7,157999.7,474602.9,476398.1,368767.2,368369.5,316291.6,314074.0,105754.2,105235.9,165633.8,164483.4,31823.7,31028.8,17713.7,27889.3
Sep-2009,1513747.9,1517891.8,928466.7,933061.7,585281.2,584830.1,1288975.8,1291833.8,861748.1,865923.1,427227.7,425910.8,224772.1,226058.0,66718.6,67138.7,158053.5,158919.3,475739.9,476595.9,371226.9,371781.9,316494.6,316196.5,105995.5,106836.0,165651.9,169160.0,31693.2,31828.6,17763.4,27894.5
Oct-2009,1518821.9,1510178.9,932812.5,926946.3,586009.5,583232.6,1292538.5,1286000.2,865297.2,859813.1,427241.3,426187.2,226283.4,224178.6,67515.2,67133.2,158768.2,157045.4,477162.5,471874.4,373587.0,369731.4,316748.8,318712.4,106592.7,106348.7,166062.3,166726.9,31627.7,31374.2,17867.7,27882.9
Nov-2009,1524189.1,1530027.6,937365.0,937912.5,586824.1,592115.1,1296523.2,1302595.7,869085.7,870121.1,427437.5,432474.6,227665.9,227431.9,68279.3,67791.4,159386.6,159640.5,478471.7,478029.5,375666.8,383436.2,317024.1,316934.0,107359.4,106597.8,166647.5,166913.7,31653.2,31645.9,17995.5,27873.1
